#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,3.526101145684679,2.1083812833731277,1.4180284447144849,1.4573552952907132,2.1083812833731277,0.5859507323285743,0.4133050173771268
2,3.299242170753194,1.8943028375622526,1.4042308749392003,1.37034998507965,1.8943028375622526,0.5835457037203388,0.4153529550596186
3,3.4698292642341952,2.070692004551499,1.399268668188378,1.4565482879521323,2.070692004551499,0.5873231288948241,0.4197752042055009
4,3.3768269328694354,1.9866379124883642,1.3901497406366516,1.4234262196761787,1.9866379124883642,0.5860032335844011,0.4215277383098316
5,3.3195124456939498,1.9211421316027602,1.3984420373254765,1.378950983843555,1.9211421316027602,0.5808937764023082,0.4154076860390511
6,3.266362085978988,1.8715909967299886,1.394776806648821,1.3526597725329077,1.8715909967299886,0.5776000010585155,0.4141181341588745
7,3.2656197216081115,1.8670472870822694,1.398572656886052,1.3565345066611774,1.8670472870822694,0.5809653080381731,0.41539879787140976
