#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,16.321186629347533,-5.42899752575704,3.4570839039978334,3.286733676321753,-5.42899752575704,0.6994953666335831,0.20137835262613782
2,16.348485999151773,-5.574775226302961,3.4529932417634446,3.4118647099775377,-5.574775226302961,0.721748671590921,0.2086960658102872
3,15.470223172214089,-5.535721497503326,3.4015890175042176,3.311224502491342,-5.535721497503326,0.7285405501890468,0.21403857369288626
4,15.706202055547244,-5.446757861532338,3.3653029289915626,3.3762760064465738,-5.446757861532338,0.7238532331946969,0.2149645085747584
5,16.64045516255891,-5.404743041712162,3.3227215186535175,3.6459703097690825,-5.404743041712162,0.7281206674156594,0.2191027994217688
6,16.5746174739929,-5.485717254494137,3.3437966235933927,3.6458341392068876,-5.485717254494137,0.735599966353358,0.2199649038614337
7,16.513244863560544,-5.468424304381821,3.3300019656799034,3.6514315323955824,-5.468424304381821,0.7364684010318726,0.2211213824154649
