#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,3.9742143754693293,2.5255793885479387,1.4475014027653736,1.7263147060897879,2.5255793885479387,0.6292564128182434,0.43437885906341456
2,3.6021365701860084,2.19152899165852,1.4102952774919395,1.515171651224553,2.19152899165852,0.5933458025099125,0.42063137299269915
3,3.421718391706157,2.0105205414900666,1.410959266262267,1.4276270065009202,2.0105205414900666,0.5887872501044636,0.4172251608903059
4,3.4794218542191158,2.076312737519337,1.4030279319100134,1.450282265883464,2.076312737519337,0.584839767727978,0.41681702496777295
5,3.348071510933977,1.9446212191585128,1.4034606211392897,1.38667666689194,1.9446212191585128,0.5812694759929738,0.41417175898525327
6,3.3812073219355727,1.9766682864466723,1.4045493174319237,1.407051673234643,1.9766682864466723,0.584483236856512,0.4161388342283537
7,3.389105143973796,1.9827803522930985,1.406320178340606,1.4069303802083126,1.9827803522930985,0.5838122424067453,0.415133293432926
