#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
0,139.60465479817864,0.022530672712955772,1.4186434560488235,96.86869338830242,0.022530672712955772,0.9843664465914931,0.6938810492314169
1,283.0048327985105,0.010371328381475335,1.4031587185583307,200.21140223456604,0.010371328381475335,0.9926628171760986,0.7072630173703953
2,426.551909709402,0.0073836774930124485,1.4114191757428438,300.64212849344597,0.0073836774930124485,0.9947958396924755,0.7048267923922571
3,605.899641968192,0.005491856754627864,1.4038621995266725,429.91300820952637,0.005491856754627864,0.9961032809817012,0.709539243398935
4,800.239850911259,0.004409619798400368,1.4058006958520328,567.4613509986723,0.004409619798400368,0.99687307648408,0.7091175093928233
5,924.0607725282212,0.0036727210089559027,1.4037482684462526,656.5631601713651,0.0036727210089559027,0.9973904602556926,0.7105132101501244
6,1030.0163668685711,0.0031155678848972653,1.4088381442832927,729.4972618379129,0.0031155678848972653,0.9977934348286014,0.7082109273591236
7,1161.850591241391,0.002770750989832639,1.407861765104295,823.6380332834067,0.002770750989832639,0.998035809498065,0.7089033485468269
8,1287.026739353702,0.002445287494173668,1.4080927085400468,912.4367744592665,0.002445287494173668,0.9982664150125352,0.708960353406789
9,1396.5203017630654,0.002224990109661087,1.406240885596872,991.5187338582303,0.002224990109661087,0.9984202740385564,0.710007137710678
10,1492.9028082611342,0.001974183999582609,1.403936811565468,1061.8757609624645,0.001974183999582609,0.9985957973116292,0.7112875240568145
11,1586.1778109468173,0.0018471749894097501,1.4046895314777654,1127.7187460900684,0.0018471749894097501,0.9986867210923707,0.7109723234773835
12,1660.7632659712278,0.0017043662136517902,1.4020125466247246,1183.118370080113,0.0017043662136517902,0.9987858191362776,0.7124045171776698
13,1748.7488705388812,0.0015658691609887318,1.4036520596348725,1244.468089043949,0.0015658691609887318,0.9988856752188392,0.7116345561712967
14,1835.808457905895,0.001473507154141735,1.4028732483495452,1307.233025398673,0.001473507154141735,0.9989507526197736,0.7120723759049254
15,1929.157534593394,0.001388926441290513,1.4018672619687613,1374.7721553105785,0.001388926441290513,0.9990102117825939,0.7126370040792275
16,2019.315084008954,0.0012972480484036617,1.4012622461866948,1439.7357775615858,0.0012972480484036617,0.9990750851898007,0.7129866243702974
17,2115.485865104783,0.0012302701849371193,1.4019069943812525,1507.6827610011705,0.0012302701849371193,0.9991232004052594,0.7126891547762872
18,2214.8201171934506,0.0011382773076181894,1.400505298733353,1580.1592894602684,0.0011382773076181894,0.9991878981739185,0.7134464627002775
19,2314.1702809917947,0.0010873245375162017,1.4010938711141177,1650.407442467757,0.0010873245375162017,0.9992245477682284,0.7131748940018663
20,2415.295518362704,0.001019609989502074,1.4012006653771332,1722.4793855809723,0.001019609989502074,0.9992728603291409,0.7131611476322052
21,2511.444639072127,9.82119957980381E-4,1.4007498021142093,1791.6725727123637,9.82119957980381E-4,0.9992993525063419,0.7134065145007342
22,2611.595333055713,9.599121987475427E-4,1.4008300551708364,1863.0432474533202,9.599121987475427E-4,0.9993152239486,0.7133740603208816
23,2709.988788366856,9.044856782838435E-4,1.4012540235540412,1932.7264146837165,9.044856782838435E-4,0.99935493336001,0.7131788298333123
24,2814.0865279860923,8.772550345654933E-4,1.402008617106759,2005.9269138484888,8.772550345654933E-4,0.9993746782600166,0.7128163584579964
25,2911.291521640281,8.408075796565906E-4,1.4019555879054555,2075.348590151962,8.408075796565906E-4,0.9994006203734465,0.7128583798104556
26,3007.2858426533758,8.048578672508359E-4,1.402165490146367,2143.513472619869,8.048578672508359E-4,0.9994263186899207,0.7127680712233244
27,3106.738197927606,7.915222549403063E-4,1.4027871832392123,2213.4406754438673,7.915222549403063E-4,0.999436068492745,0.7124649546821469
28,3206.5723581743605,7.659183932312453E-4,1.4027193950329224,2284.720992445981,7.659183932312453E-4,0.9994542740234584,0.712512839850734
29,3316.0425837285393,7.334914876999157E-4,1.403273263328058,2361.842329001964,7.334914876999157E-4,0.9994775726789177,0.7122440348870779
30,3417.3516421485697,6.956378054148087E-4,1.4028078789562637,2434.872161940476,6.956378054148087E-4,0.9995043562077993,0.7124934687780995
31,3522.23191976961,6.789551905566881E-4,1.4025966899901285,2510.00716207548,6.789551905566881E-4,0.9995161640602198,0.7126197512217791
32,3625.70260515335,6.714403351012553E-4,1.4024533374142627,2584.0200833521294,6.714403351012553E-4,0.9995214678368247,0.712695463661978
33,3721.7963109649736,6.412031343174533E-4,1.4020432565108945,2653.33823681653,6.412031343174533E-4,0.9995428742865807,0.7129148663712271
34,3808.631526137488,6.29540589786259E-4,1.4014758946485761,2716.365995321891,6.29540589786259E-4,0.9995510033882158,0.7132138738314033
35,3895.8825564915255,6.058306937818176E-4,1.4017536571561566,2778.091202894482,6.058306937818176E-4,0.9995679918743869,0.7130920631701334
36,3977.079106379814,5.856506785291432E-4,1.4018505316795324,2835.836066132248,5.856506785291432E-4,0.9995824047568821,0.7130432248755993
37,4067.0434988362986,5.806245231204556E-4,1.4023033393116002,2899.059083774268,5.806245231204556E-4,0.9995861207782764,0.7128196279871419
38,4153.621213600495,5.631889644909859E-4,1.4014290195773105,2962.656417271132,5.631889644909859E-4,0.9995982937985962,0.7132734944377678
39,4241.936525160598,5.451751598231781E-4,1.4008024531269334,3027.0408566264573,5.451751598231781E-4,0.9996109636546859,0.71359958468455
40,4337.415230691549,5.319115916336524E-4,1.4016117393059273,3093.4171601568924,5.319115916336524E-4,0.9996206440108378,0.7131961005856052
41,4433.053805129071,5.186688100456793E-4,1.4014999863831328,3161.907859577132,5.186688100456793E-4,0.9996300556999549,0.713257284308804
