#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,19.324467126389433,-6.196976813920516,3.5871799311223036,4.237455900775396,-6.196976813920516,0.7858758762393875,0.219279314304545
2,16.940551748389677,-5.571538668736525,3.439703940423312,3.564057243857349,-5.571538668736525,0.724518365470116,0.21038613716912372
3,20.48172801480505,-5.661154459703374,3.4315874867659453,4.420206584587487,-5.661154459703374,0.7405864903387802,0.2158121903284907
4,19.006580738166964,-5.736672977442187,3.4325622016525883,4.166380156216768,-5.736672977442187,0.7525875785471691,0.21920724267097094
5,17.776533649504074,-5.6513317645625465,3.3923971609139922,3.9278813628623075,-5.6513317645625465,0.749558619169623,0.22095878984662945
6,18.4927031015388,-5.70198102694396,3.3974136338911216,4.11828849961273,-5.70198102694396,0.7566184872753848,0.2226980272705531
7,17.841774929782723,-5.661653567096927,3.3730745252182506,4.002620635728529,-5.661653567096927,0.756707021705208,0.2243398233349014
