#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,17.529153322653105,-5.454988561132156,3.3123321736623303,3.9106397247836724,-5.454988561132156,0.7390286236282391,0.2230934747846556
2,16.64733088392084,-5.453591450368185,3.3173073736493564,1.8535958614541646,-5.453591450368185,0.7374529834690251,0.11134492816770389
3,16.175573260411536,-5.5225211477621965,3.3487546839361926,1.1977361114646703,-5.5225211477621965,0.7402619368445564,0.07404597612599219
4,17.08165819935774,-5.439506163251331,3.3066702086504267,0.9497490421518314,-5.439506163251331,0.7380129260395446,0.055600517881076755
