#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,15.574876405865973,-5.580143916691759,3.3543042424270406,3.470144518905551,-5.580143916691759,0.7482661685571156,0.22280398434485096
2,14.98307621016216,-5.297741480655539,3.2327189114644512,3.400855576145728,-5.297741480655539,0.7346395112866914,0.22697979563363116
3,14.921022156649236,-5.108346144541014,3.2764243537894533,3.159229307208802,-5.108346144541014,0.6940214096750609,0.21173008618588227
4,15.290703786966558,-5.2772427723837865,3.3040161836630184,3.2990608232719634,-5.2772427723837865,0.7128704721381617,0.2157559828007398
5,15.273278935111104,-5.319037010681141,3.3108318387449245,3.3091998622284002,-5.319037010681141,0.7176463893106181,0.21666597436526996
6,15.835995485301382,-5.372130217966302,3.311705647331895,3.4703525072000763,-5.372130217966302,0.7257758673484513,0.21914331248838637
7,16.47703701880333,-5.461710191449133,3.321743088992241,3.658579793181991,-5.461710191449133,0.7375883244378393,0.2220411223818262
