#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,9.876835153030168,-1.0995776328504967,3.063548816081305,1.2246826654005178,-1.0995776328504967,0.3786333902206891,0.12399545465986549
2,10.745380808814271,-1.7815442747268664,3.314452558286385,1.3165687903169736,-1.7815442747268664,0.40609266541583317,0.122524163055907
3,10.864256211944134,-2.224700306354117,3.341746635454753,1.3929534760652251,-2.224700306354117,0.42839941937483506,0.12821434333754167
4,11.123714621491079,-2.2980046055957395,3.3690213848490753,1.4248342533972806,-2.2980046055957395,0.431424727104486,0.12808978851763178
5,10.979599057996916,-2.1784458670160416,3.3478631553345792,1.396122320337766,-2.1784458670160416,0.4256582366487847,0.12715603848219847
6,11.13618644577055,-2.262677989900395,3.3532748157030396,1.4282527242973184,-2.262677989900395,0.4300643618926543,0.1282533056762676
7,11.036213813963494,-2.266187283107596,3.3308147117259543,1.4284067399504075,-2.266187283107596,0.4311032852646435,0.12942905638010796
