#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,2.95547672228946,1.5978277649923351,1.3576829811793054,1.240890894094311,1.5978277649923351,0.5700245296405536,0.41986150144097734
2,3.43322712935835,2.0227415789045904,1.410650813371529,1.4296235247909077,2.0227415789045904,0.5873375830754379,0.41640808222848225
3,3.356390915469307,1.9473714142538903,1.4089066547464852,1.3826650296505794,1.9473714142538903,0.5804454962165316,0.4119499380355248
4,3.349162408613532,1.9559927066526617,1.3932281976525251,1.4000927360111088,1.9559927066526617,0.5824043571997415,0.4180426522196371
5,3.467417117618836,2.0569479437051967,1.4105459446844075,1.444991395874998,2.0569479437051967,0.5877907823941679,0.41673422806060045
6,3.331609138736927,1.937585598821587,1.3940493335515063,1.391680949043962,1.937585598821587,0.5823120066703613,0.4177203540663756
7,3.3350431604570367,1.93548681516064,1.3995483952143575,1.3926353130625413,1.93548681516064,0.5844216987025188,0.4175763988828539
