#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
0,5.011925291446942,-4.663152781649151,0.20743166795798693,15.900412512405438,-4.663152781649151,0.6580802579593324,3.210645551241023
1,5.1605168734583735,-4.780834871460582,0.2128907980043154,15.707218714502742,-4.780834871460582,0.6479820546188512,3.0510734744698507
2,5.04172091065722,-4.678478839456708,0.20855035960553367,15.430857694525118,-4.678478839456708,0.6382961251211997,3.0586284303840894
3,5.066195084993893,-4.714664594282561,0.20962135958408412,16.0196887016613,-4.714664594282561,0.6628384555704651,3.157525591735096
4,5.023462050684974,-4.647343168608143,0.20658465288246283,16.168805866496964,-4.647343168608143,0.6649253271453993,3.2136183779212395
5,4.9970984556302565,-4.6541979964883184,0.2069140442108315,16.029747386638185,-4.6541979964883184,0.6637411467669369,3.214164587155291
6,4.9439418817698915,-4.59553778954966,0.20485951430496466,15.39734453016357,-4.59553778954966,0.6380116509189834,3.1128674476971394
7,5.025419042507022,-4.65965570779955,0.20782080455134624,15.319363098557822,-4.65965570779955,0.6335157998621848,3.0420567116072994
8,5.02231872246675,-4.68024347542966,0.20793675433288614,16.188566671354355,-4.68024347542966,0.6702477873187677,3.2237195176715723
9,5.041723565594344,-4.698798333154101,0.20906251573702184,15.819551998668713,-4.698798333154101,0.6559810936965631,3.153479605680972
10,5.066939873077204,-4.686242021466425,0.20825707973410224,16.243946118828223,-4.686242021466425,0.6676449428658388,3.2073700783843595
11,5.142300420459996,-4.785601409580578,0.2129478545864136,15.81530455802174,-4.785601409580578,0.6549277365946259,3.0668633746438583
12,4.930185503947701,-4.576271763502367,0.20387261748295196,15.568791050389446,-4.576271763502367,0.6437993418191925,3.1568683087182503
13,4.87490759273373,-4.527257912246255,0.20151007075656324,15.777227851476173,-4.527257912246255,0.6521703725076203,3.247696253234689
14,4.989430971709452,-4.653801920845687,0.20707273882050228,15.792146579303093,-4.653801920845687,0.6554100182111,3.1976434564609466
15,5.160187217933531,-4.785658145670727,0.21215997375930531,16.853375726985597,-4.785658145670727,0.6929228729466295,3.2614488926400345
16,5.044849709188648,-4.6837907628966535,0.2082360544091526,16.0728221607514,-4.6837907628966535,0.6634372207121987,3.2050512617330886
17,5.157223465682769,-4.779085513963571,0.21233876998997006,16.26653636571489,-4.779085513963571,0.6697433894181152,3.158035288201064
18,5.122066599348835,-4.658071803676668,0.20725488860747907,16.206736777358678,-4.658071803676668,0.6557754297668105,3.159565351376547
19,4.984490672516702,-4.645272165392215,0.2067673101969232,15.71684155812802,-4.645272165392215,0.6519681281948392,3.177769713933686
20,5.032210602619422,-4.672723142711992,0.20795950935511118,15.809394477756147,-4.672723142711992,0.6533339278535389,3.131347048991026
21,5.012384699946596,-4.669532050994647,0.20830444042218296,15.199429940955985,-4.669532050994647,0.6316571728065373,3.029787713377265
22,5.018862332300425,-4.6669680256986386,0.207805207944069,15.66646859993344,-4.6669680256986386,0.6486676759803022,3.116501360122894
23,5.033022992317105,-4.677387971458605,0.20796381015991006,16.041841298401412,-4.677387971458605,0.6628466517019169,3.1998573431580772
24,5.106416686929402,-4.754219871945948,0.2110936551260765,16.36525928456949,-4.754219871945948,0.6765218373792877,3.199533198416044
25,5.009436520943805,-4.679689402042552,0.20799234579548764,16.049358668871644,-4.679689402042552,0.6663711066295404,3.201300140929536
26,5.08444842315792,-4.738889017710789,0.21049303494322621,16.247160298940074,-4.738889017710789,0.6726224352982819,3.191589387686398
27,4.988939451915943,-4.645176230595235,0.20636211555125206,16.223426083105554,-4.645176230595235,0.6710645739974463,3.2389626171107846
28,5.099484133022956,-4.694919040145644,0.2097065235440532,15.085556357555316,-4.694919040145644,0.6203646284502665,2.9777512445995677
29,4.982207710038064,-4.636635408587027,0.2063157088436065,15.819465107646236,-4.636635408587027,0.6550919486224708,3.178983128168323
30,4.965343309032151,-4.6246915023615065,0.20596564871843456,15.590554835789126,-4.6246915023615065,0.646706288121606,3.128775029943954
31,5.057628766222097,-4.705015942768079,0.20838042431592932,17.079991669144828,-4.705015942768079,0.7037163215890812,3.367999248166136
32,5.010732799328515,-4.6621528981737015,0.20759439380053055,15.653034383558072,-4.6621528981737015,0.6485043833167595,3.1250638655404357
33,5.075908163117577,-4.746236332027388,0.2107021615339525,16.341449255511677,-4.746236332027388,0.6783374659440132,3.2261916910115733
34,5.188398843238557,-4.81713933218207,0.21392316152150526,16.366334615556465,-4.81713933218207,0.6748012535777428,3.181006825305986
35,5.020836811178628,-4.660945150038361,0.20752105272242316,15.71171297916308,-4.660945150038361,0.6493959752384554,3.1379790773410945
36,4.939049746363889,-4.602962350226902,0.20503532656804213,15.537197959761242,-4.602962350226902,0.6449974430764229,3.138136060012648
37,5.130036365923609,-4.73677655154629,0.21016919904510434,16.694759898499974,-4.73677655154629,0.6839570065087363,3.2614213133843855
38,5.154578134602889,-4.781998237903288,0.2120314521348147,16.803478427438755,-4.781998237903288,0.691204175947632,3.2602900980427574
39,5.024760784956078,-4.674100257169171,0.20801219265894402,15.79158179666334,-4.674100257169171,0.6537309328061321,3.1421863817253737
40,4.957378208144828,-4.599820828794836,0.20489745458800504,15.603072345115269,-4.599820828794836,0.6449033487124277,3.15237116642515
41,5.036473021363481,-4.656014900369945,0.20774313836069236,15.270349291853721,-4.656014900369945,0.6298674235516614,3.056311978836502
42,4.897642940882523,-4.54712924007713,0.20296558751073035,15.114089259604238,-4.54712924007713,0.6263502756924995,3.0882692501352396
43,5.092133236365643,-4.7352620617836,0.21002064151303165,16.682755978211123,-4.7352620617836,0.6880658753638466,3.2874347643817123
44,5.047034815316173,-4.694039969219726,0.2084410073881505,16.357574321238637,-4.694039969219726,0.6755628591264093,3.2733904745144136
45,4.974104425874788,-4.643171465859246,0.20639829546471591,16.025459846101555,-4.643171465859246,0.6649694725079888,3.2248321046692494
46,5.001235265249012,-4.637780056124157,0.2067909565850072,15.378814997599862,-4.637780056124157,0.6358828760956496,3.1057517618665282
47,5.039993216557811,-4.706158476037773,0.20888355350279866,16.414413323180653,-4.706158476037773,0.6802987298366593,3.253106253411629
48,5.017617772841981,-4.6771611653920075,0.20841025301506763,15.453806644949864,-4.6771611653920075,0.6418846350457881,3.072429159236587
49,5.008517484764643,-4.6454572081522265,0.20745869757319793,15.015723149703799,-4.6454572081522265,0.6219689513380329,3.009703785548906
50,5.015878005043488,-4.679411282585309,0.20797278235647024,16.079856579342216,-4.679411282585309,0.6667172744903711,3.218332800484627
51,5.1094167476565255,-4.747330864995555,0.2108750021687064,16.28918924314585,-4.747330864995555,0.6722847218423378,3.1918460287772352
52,5.016510411711998,-4.667299862449532,0.20789392706607032,15.571758796479811,-4.667299862449532,0.6453239048338822,3.104906083359965
53,5.043139559567393,-4.702601755032957,0.20938386353254465,15.632263104707576,-4.702601755032957,0.6490289641918413,3.1058558872966104
54,5.117921579371366,-4.759343514261707,0.21131137937480424,16.39678432071365,-4.759343514261707,0.6769988672915046,3.2018972482934216
55,5.102554039638148,-4.746515383534556,0.21127022512932822,15.7500809686692,-4.746515383534556,0.652128938999314,3.088263738829617
56,4.889821495611597,-4.552646949467867,0.20264290667548182,15.733886581147644,-4.552646949467867,0.6520402662893798,3.2544757418853076
57,4.968958179770702,-4.634103202671086,0.20644231137239133,15.503176136258729,-4.634103202671086,0.6441011172547729,3.107925465032567
58,5.075418463387648,-4.722587972069516,0.20965217507615394,16.421888962559056,-4.722587972069516,0.6783450004557054,3.2358059083223116
59,5.198971301103427,-4.738582308183142,0.21086284047540202,16.139564979443207,-4.738582308183142,0.654597672982041,3.108448735924024
60,4.947471795463824,-4.602039639438064,0.2051086189756257,15.433492724407346,-4.602039639438064,0.6398303031410791,3.1288615183619943
61,4.841125707091719,-4.485152560816425,0.20031493175921564,15.015628397499396,-4.485152560816425,0.6213130498471985,3.0988970437545604
62,5.1410137750441285,-4.765970488818203,0.21135857849970208,16.765885008532756,-4.765970488818203,0.6892830437246849,3.2649951777531996
63,5.190968554018893,-4.804270930031753,0.2136178964598078,16.093103068270196,-4.804270930031753,0.662260768714001,3.099956241539064
64,5.058773666720941,-4.706431691393116,0.20923005793444296,16.055027131124525,-4.706431691393116,0.6640333167863669,3.1735223685100147
