#Run, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,20.032437080349826,-5.7595458500801575,3.512951896690076,4.228796826331891,-5.7595458500801575,0.7350333027785815,0.21109747203349474
2,13.989518532934149,-5.682166163996792,3.3855907302470754,3.160296069629015,-5.682166163996792,0.7566231998999724,0.22590456291894825
3,18.239922356694965,-5.08160561789721,3.184744074578434,4.109070477023686,-5.08160561789721,0.7120523028730831,0.22527894563736736
4,15.211517049884991,-4.99180951529421,3.287369954762472,3.1470901114618264,-4.99180951529421,0.6749830029357512,0.20688864241095667
5,13.46194335789938,-4.5860739614901425,3.0291847212100573,3.003823030272626,-4.5860739614901425,0.6729308105742563,0.22313442795092453
6,14.609079158876089,-5.274650525357978,3.245918642973559,3.3072504803042824,-5.274650525357978,0.7272780607830783,0.2263832267822907
7,16.34512520264344,-5.775428548696801,3.4389959071691045,3.6278868841100747,-5.775428548696801,0.7572280303552459,0.22195528263823572
8,19.864023654110763,-5.328036635888493,3.35544538444277,4.1957964737309545,-5.328036635888493,0.708153921484426,0.21122591005688088
9,14.262167341689013,-4.55375853919273,3.040824230054076,3.1480392468868135,-4.55375853919273,0.6655755053987789,0.2207265678116776
10,11.97290224380718,-4.591309555977652,3.093894792358375,2.5637159337281603,-4.591309555977652,0.6596263433877239,0.21412652350470893
11,13.993468350175513,-4.245479323848411,3.015636864020051,2.9167839726174627,-4.245479323848411,0.6280704014207837,0.20843895877899912
12,16.650166622457025,-5.781753005701992,3.4065868603957408,3.758586620499438,-5.781753005701992,0.7675937461695931,0.22573867912108572
13,14.24619646301248,-5.052564541497425,3.2629290003036497,3.0235136919542005,-5.052564541497425,0.6889306885951658,0.21223304759303122
14,15.510355037881462,-4.827286144324467,3.2939226690241576,3.0779790285445334,-4.827286144324467,0.6516835470912792,0.19844671646955092
15,16.40382740302111,-5.98722675141354,3.43744768903176,3.8120192968111137,-5.98722675141354,0.7947642186103702,0.23238596719867036
16,16.953347002919358,-5.820335121649439,3.3937163723381985,3.9873244341055267,-5.820335121649439,0.7782300221805318,0.23519393742244002
17,14.734128609480958,-4.979512054581352,3.2966952726630203,3.0037688808921748,-4.979512054581352,0.6713462482183076,0.20386471168436401
18,19.342108188434295,-6.070912796311728,3.507914799348916,4.457069163672634,-6.070912796311728,0.7877941752798551,0.23043347293123714
19,20.114861919940694,-6.452276082707849,3.6679719755041025,4.505008340502461,-6.452276082707849,0.8058572517544035,0.22396416930093166
20,17.104193057070653,-5.5956679313210405,3.2551930325346023,4.1403227067226664,-5.5956679313210405,0.7806384603239446,0.24206477867198245
21,25.565866135256712,-6.42081772302787,3.6088106838872913,5.852330712329908,-6.42081772302787,0.8191390382113252,0.22891188905425847
22,14.766387248616725,-4.949955208568345,3.2749850244473606,3.1363585541468586,-4.949955208568345,0.6717918185212838,0.21239850352974213
23,17.651455838933657,-6.156427950158944,3.5690091678213562,3.9090162474289634,-6.156427950158944,0.7842942728786508,0.22145574184350741
24,12.87058606027811,-5.366543490498889,3.201531202310243,3.059912915545201,-5.366543490498889,0.7554255174796568,0.23774464513227317
25,15.066072983893713,-5.512951076184221,3.3926850545889455,3.2797968626007368,-5.512951076184221,0.7272474506237613,0.21769421043605605
26,11.739684861161612,-4.41377311295026,2.969557326379879,2.636383178319839,-4.41377311295026,0.6606505318099334,0.2245701830584723
27,14.19832591477409,-5.396042459978583,3.2709882695046404,3.2600961803769968,-5.396042459978583,0.7405582465332015,0.2296113076954163
28,18.231979085708346,-5.548941691018503,3.4436469090375468,3.8575175431611375,-5.548941691018503,0.7201270604709834,0.21157974814620986
29,16.308696832759047,-5.286840353599311,3.368304327816233,3.459878447573525,-5.286840353599311,0.6990978730682865,0.21214928961238133
30,14.873445936202703,-4.895077459247936,3.1838996891197304,3.2204598374623172,-4.895077459247936,0.683735969350349,0.2165241230092859
31,13.404020938980093,-5.236797686638247,3.2023418384893865,3.0859442745211147,-5.236797686638247,0.7327631336206064,0.23022526513271196
32,17.35768518661618,-4.94765675848488,3.1927037087303987,3.8012434001858533,-4.94765675848488,0.6895011709859258,0.21899483481339094
33,17.719960332414736,-5.541953741704676,3.219390919592138,4.325489623916185,-5.541953741704676,0.782123328773307,0.24410266968846772
34,16.0513992590763,-5.721264092912292,3.4407110508625576,3.4987264850823503,-5.721264092912292,0.7478393769166125,0.217970186188222
35,16.829883572237968,-5.033127661329944,3.1666237322319923,3.7863996641484396,-5.033127661329944,0.7089334113677738,0.22498074023485
36,19.056062780402552,-5.76031944851894,3.5265292507962265,4.014230392490195,-5.76031944851894,0.731756156419953,0.21065371366316396
37,15.900128375420243,-5.448024737672961,3.3798938176933064,3.393335826368789,-5.448024737672961,0.7204051836516628,0.21341562446844725
38,15.766289176924472,-5.718785975380833,3.4912853055947792,3.399624696875129,-5.718785975380833,0.7342237545646474,0.21562617929466985
39,13.970576485781294,-4.895957383764933,3.1318773066756767,3.1427138763694917,-4.895957383764933,0.6960230748771762,0.22495234033957173
40,13.580490286028128,-4.615108681344995,3.0332061590824098,3.138888565866893,-4.615108681344995,0.6763740736733438,0.23113219771573654
41,13.111824972319168,-4.428406721656449,2.934704715739862,3.04116234148197,-4.428406721656449,0.6706812019915104,0.2319404314732903
42,16.550427362912632,-5.623693971743677,3.2596753778175525,4.020527964244334,-5.623693971743677,0.7844560316634069,0.24292593031487614
43,16.294277582884902,-6.002471861517367,3.426371623277699,3.829582302807266,-6.002471861517367,0.8011825201718454,0.2350262098658343
44,19.571333277549456,-5.615930919222737,3.3227085310252384,4.678899696724215,-5.615930919222737,0.7634558607838328,0.2390690317501999
45,15.637957521499118,-5.719602442055185,3.6333696930583153,3.0285904415378413,-5.719602442055185,0.7013541237500244,0.19366918201268452
46,14.590237422052297,-5.296500452531966,3.1571192822740315,3.5170212612809966,-5.296500452531966,0.7562220655948542,0.24105305208846176
47,16.2636597798183,-5.539440849501865,3.2782333088228337,3.828558779112761,-5.539440849501865,0.7632213214803242,0.23540573468363182
48,14.692170733761909,-5.32544693285934,3.188977481544839,3.4965893753580386,-5.32544693285934,0.7518539136091889,0.23798997702382008
49,15.243783158373361,-5.69307007182777,3.50711483151378,3.1761512452793452,-5.69307007182777,0.7263702359201704,0.20835715204559935
50,15.932147031726945,-6.052136578259395,3.506561717527166,3.567931621486832,-6.052136578259395,0.7848961593124358,0.22394543650530763
51,13.306808416237953,-4.5058514032893715,3.049446682992517,2.8705450037808404,-4.5058514032893715,0.6568560347099099,0.2157200219609376
52,15.09810369925447,-5.285938152186479,3.2148692665937446,3.5401473313614815,-5.285938152186479,0.7375803918445176,0.23447628933269882
53,18.00455204362325,-5.28298155832043,3.3205943379717797,3.8638080718177887,-5.28298155832043,0.7097104609987275,0.21460173307595568
54,18.6859418532415,-6.021238203070945,3.4709884863922404,4.257878300020711,-6.021238203070945,0.7903470056266718,0.2278653296398911
55,17.103890974461606,-5.262569256980909,3.3833641605514235,3.5062997792560817,-5.262569256980909,0.6922451321502491,0.2050001245033341
56,14.38893452840128,-5.457862827610683,3.2555120355398284,3.3578045652719317,-5.457862827610683,0.7555718024386265,0.23336019485280188
57,17.06741557507993,-5.6886773793820495,3.3710235557373736,3.879196446558952,-5.6886773793820495,0.7619176995430893,0.22728669314309966
58,13.713040114431003,-4.661259365107069,2.9868237716836714,3.2228248981339664,-4.661259365107069,0.6947375022351747,0.2350189944199468
59,15.667500988855064,-5.665840939657097,3.4260557867619483,3.4073003842991216,-5.665840939657097,0.7428042758289671,0.2174756769904067
60,16.543657918566044,-5.492754144311894,3.4116057310589114,3.5042641153131218,-5.492754144311894,0.7194349159645999,0.21181918367524255
61,16.90283891136579,-5.663597722135996,3.2403503689787048,4.210156695278264,-5.663597722135996,0.7986167829105777,0.2490798567835415
62,14.736906859108023,-5.22383164153585,3.3327264743711296,3.0983019442660003,-5.22383164153585,0.6980485349707665,0.21024099384540254
63,15.113604904623317,-4.938573739339738,3.314758591979541,3.0320243860025826,-4.938573739339738,0.6621965446093048,0.20061556492555083
64,16.027897062099235,-5.492858451324331,3.292350117270104,3.694192547942119,-5.492858451324331,0.7509593995885883,0.23048516805599426
65,11.594110378602888,-4.27471100020207,3.064684052200651,2.3679130241247592,-4.27471100020207,0.6229866876001492,0.20423412808754862
66,17.46414975697612,-5.698692901370634,3.3433385432682523,4.164057939436801,-5.698692901370634,0.7718978134139057,0.23843462163243606
67,17.89479412291576,-5.4576827997291675,3.3000676604908494,4.137101631981113,-5.4576827997291675,0.7428368415865706,0.23119023351507653
68,12.929625959474217,-5.09677348115715,3.194447229715188,2.887551338614913,-5.09677348115715,0.7120023772351033,0.22332829639971546
69,18.785178509032722,-5.878745679770032,3.4062342345336027,4.454693961953813,-5.878745679770032,0.7848543697160858,0.23713876127457637
70,26.541713584239247,-5.742752214849243,3.268661802377521,6.636727436588816,-5.742752214849243,0.8044484890961199,0.25004894335570615
71,18.140796980218244,-5.868286667669243,3.4830071447068787,3.9628310897836325,-5.868286667669243,0.7603599252713549,0.2184485661850981
72,14.262118840153605,-5.854957824893998,3.503082865366722,3.1033068236954335,-5.854957824893998,0.7526566425627275,0.21759086840297362
73,15.32904605809395,-4.553090376890328,3.0949032103052136,3.289659623152072,-4.553090376890328,0.6540896560246893,0.21460302295948064
74,15.597574915619377,-5.712263442940724,3.3890686175265903,3.5911826576649726,-5.712263442940724,0.7607435306444699,0.23023980824536833
75,17.606214853662117,-5.01475376132617,3.1792765182503864,3.9194296184537754,-5.01475376132617,0.7029014465934821,0.22261625517074324
76,15.941166624887055,-5.6869894247607755,3.373333459983098,3.627734772728091,-5.6869894247607755,0.760957618666576,0.22757021854752704
77,11.959733855004442,-4.7285843698770735,3.088101157517583,2.7121612568003517,-4.7285843698770735,0.6808404770251039,0.22677438224643037
78,18.404771409286198,-4.870897473208972,3.3381130919821502,3.6341465946087808,-4.870897473208972,0.6490037644064556,0.19745676345510915
